,NO,NO2,SO2
1233.0cm-1,-7.705919363125449e+18,-1.1915361448601715e+18,8.897455507985625e+18
1234.0cm-1,-8.461737086688526e+19,7.164636261077497e+19,1.2971008256110817e+19
1235.0cm-1,-4.1380215035850875e+19,7.954817481921839e+19,-3.816795978336788e+19
1236.0cm-1,-1.952432483123919e+19,8.187790726047349e+19,-6.235358242923451e+19
1237.0cm-1,-1.385843046078558e+20,1.0872489209134934e+20,2.985941251650863e+19
1238.0cm-1,-1.3072225626223935e+19,8.437501953669264e+19,-7.130279391046789e+19
1239.0cm-1,-2.1216329144261198e+21,8.612792480122684e+20,1.2603536664138007e+21
1240.0cm-1,-2.1090929946649444e+20,-3.899603274491978e+19,2.499053322114138e+20
1241.0cm-1,-8.732831331710591e+21,-6.975947482755084e+20,9.430426079986148e+21
1242.0cm-1,-1.5448485744240126e+22,8.023649885795359e+21,7.4248358584447e+21
1243.0cm-1,4.573174916560616e+19,4.255202204881872e+19,-8.82837712144265e+19
1244.0cm-1,-2.9407238434311953e+20,-8.065005033613366e+19,3.74722434679253e+20
1245.0cm-1,-3.339899599579233e+21,1.529007442195206e+21,1.810892157383837e+21
1246.0cm-1,-4.848957885520121e+19,1.3469337809714127e+20,-8.620379924194134e+19
1247.0cm-1,-2.3780166189377634e+19,-3.950069176381875e+18,2.7730235365759398e+19
1248.0cm-1,-2.915737545045043e+20,7.666666482673264e+19,2.1490708967777367e+20
1249.0cm-1,-2.3944014150065816e+19,9.076101352765425e+19,-6.681699937758787e+19
1250.0cm-1,-4.837084662506569e+19,-1.0915974216738406e+19,5.928682084180416e+19
1251.0cm-1,-2.363378124103534e+20,4.303114253897575e+20,-1.939736129794087e+20
1252.0cm-1,6.408616617310312e+19,8.382810483144104e+19,-1.4791427100454673e+20
1253.0cm-1,-1.1196592893533109e+20,2.164596707048663e+20,-1.0449374176953242e+20
1254.0cm-1,1.5812486418239586e+20,5.542613494714325e+20,-7.123862136538433e+20
1255.0cm-1,-1.4350206546985928e+20,3.317675445264546e+20,-1.882654790566024e+20
1256.0cm-1,9.144129423735051e+20,1.5827946966378967e+21,-2.497207639011317e+21
1257.0cm-1,2.286352317629363e+20,2.37027431270371e+21,-2.5989095444666636e+21
1258.0cm-1,8.445255774319773e+19,1.2642319302877166e+20,-2.1087575077197362e+20
1259.0cm-1,5.0060308666652774e+20,5.742246153730582e+20,-1.0748277020395814e+21
1260.0cm-1,-2.090997823779651e+21,2.9128926124168367e+21,-8.218947886370934e+20
1261.0cm-1,-3.4432800563697574e+19,4.540086412636615e+19,-1.0968063562668603e+19
1262.0cm-1,-1.6096701741669515e+19,2.6228012183235514e+19,-1.013131044156681e+19
1263.0cm-1,-7.177947800519787e+20,1.5604080929590985e+21,-8.426133129070788e+20
1264.0cm-1,-7.421617409000899e+19,2.2062890906707627e+20,-1.4641273497706557e+20
1265.0cm-1,-4.3992950091152576e+20,3.627376955130818e+20,7.719180539844203e+19
1266.0cm-1,-4.956908121126721e+19,1.4303473519704347e+20,-9.346565398577796e+19
1267.0cm-1,-6.039741276553805e+19,9.76193642786364e+19,-3.722195151309858e+19
1268.0cm-1,-1.0119309666920699e+20,2.2431632046106755e+20,-1.2312322379186302e+20
1269.0cm-1,2.8502126059295008e+20,1.3930908685859876e+21,-1.6781121291789384e+21
1270.0cm-1,1.1430694680632836e+19,6.650735205502212e+18,-1.8081429886135345e+19
1271.0cm-1,-1.126559811244488e+20,1.38933835085677e+20,-2.6277853961236505e+19
1272.0cm-1,-2.3391141055401472e+21,-3.8999414827818785e+20,2.729108253818362e+21
1273.0cm-1,-1.4699953329958504e+21,1.7126801215963073e+21,-2.42684788600448e+20
1274.0cm-1,2.682981490302242e+19,1.413297332737236e+21,-1.4401271476402706e+21
1275.0cm-1,-1.886561368224593e+22,-2.646933544065122e+21,2.1512547226311125e+22
1276.0cm-1,-2.7712798521861135e+18,9.83159415293982e+18,-7.060314300753759e+18
1277.0cm-1,-1.4341610077971329e+21,6.542279911413652e+20,7.799330166557559e+20
1278.0cm-1,-1.6005623909946463e+18,8.566891715982628e+18,-6.96632932498782e+18
1279.0cm-1,1.707982614758696e+19,4.79185574826238e+19,-6.499838363021146e+19
1280.0cm-1,-2.205717381184498e+19,8.882348086959186e+19,-6.676630705774546e+19
1281.0cm-1,-1.500002336163754e+20,6.183545385888836e+20,-4.683543049725142e+20
1282.0cm-1,-5.696925409579267e+21,-9.269696925537842e+20,6.623895102132862e+21
1283.0cm-1,-8.593637644890116e+21,2.4409538461588484e+21,6.152683798731319e+21
1284.0cm-1,-4.885678762479388e+20,1.0176705482428273e+21,-5.291026719948982e+20
1285.0cm-1,-1.8831474880114788e+18,1.0081922050955078e+19,-8.198774562943397e+18
1286.0cm-1,-2.427875500600123e+20,7.110374414449618e+20,-4.682498913849498e+20
1287.0cm-1,-1.655697420584177e+18,1.06701501980581e+19,-9.014452777473998e+18
1288.0cm-1,-3.2282542278884872e+19,3.2254565645302292e+19,2.79766335831818e+16
1289.0cm-1,-1.9507873760151866e+21,-5.273401272753383e+20,2.4781275032905355e+21
1290.0cm-1,-2.9239405147847286e+22,4.2091354809370715e+21,2.503026966691016e+22
1291.0cm-1,-2.6754899332294024e+20,2.977673471254553e+20,-3.0218353802518827e+19
1292.0cm-1,-5.015433185743424e+21,9.309466325160805e+21,-4.294033139417304e+21
1293.0cm-1,-1.9884629802275108e+20,2.290540813651887e+20,-3.0207783342434226e+19
1294.0cm-1,-2.7920271902262175e+18,3.5016672271163453e+18,-7.096400368900022e+17
1295.0cm-1,-2.61810061777638e+19,5.08602671361523e+19,-2.4679260958387044e+19
1296.0cm-1,1.063729480128017e+19,4.127456521228882e+19,-5.191186001356912e+19
1297.0cm-1,-3.28575052539042e+18,1.1218955245969878e+20,-1.0890380193430752e+20
1298.0cm-1,-2.3100884453479596e+19,3.2917744256904774e+19,-9.816859803425196e+18
1299.0cm-1,-6.714386491895484e+20,8.436219051889657e+20,-1.7218325599943223e+20
1300.0cm-1,-1.559704165599851e+20,1.1753917839368915e+20,3.843123816629485e+19
1301.0cm-1,-9.945701955555848e+17,4.150005883175551e+18,-3.1554356876199276e+18
1302.0cm-1,-9.294499792003207e+18,1.8473523345180692e+19,-9.179023553177603e+18
1303.0cm-1,-3.348944712416874e+19,5.917130088614114e+19,-2.5681853761974276e+19
1304.0cm-1,3.870001151929926e+20,7.330183531242964e+20,-1.1200184683173151e+21
1305.0cm-1,-4.4754643755609574e+18,9.008902932439779e+18,-4.533438556878663e+18
1306.0cm-1,-3.2332525324919177e+19,4.384961857822573e+19,-1.1517093253306927e+19
1307.0cm-1,-5.794227052826209e+19,-1.2683568589505182e+19,7.06258391177673e+19
1308.0cm-1,-2.7049214998652555e+21,-3.864042160849106e+20,3.0913257159501666e+21
1309.0cm-1,-3.972962296117075e+20,5.206867290813355e+20,-1.233904994696343e+20
1310.0cm-1,-2.708224940304068e+18,6.829876988517906e+18,-4.12165204821385e+18
1311.0cm-1,-7.720651609448853e+19,-1.3143137134533319e+19,9.034965322902156e+19
1312.0cm-1,-8.918727807709657e+19,-8.344410303247391e+18,9.75316883803435e+19
1313.0cm-1,-1.6012991677001214e+20,2.3002700463912678e+20,-6.989708786911806e+19
1314.0cm-1,-1.653156384347808e+20,-3.8628311752759665e+19,2.039439501875402e+20
1315.0cm-1,-1.0630780937627402e+20,1.6426365640492024e+20,-5.795584702864982e+19
1316.0cm-1,-3.47852488669502e+20,6.945374066819557e+20,-3.466849180124613e+20
1317.0cm-1,-2.0736984570726344e+22,1.430532577323961e+22,6.431658797486834e+21
1318.0cm-1,-2.652392964344377e+18,-6.863645619820567e+17,3.3387575263264225e+18
1319.0cm-1,-1.3413359895589815e+23,4.974800387107489e+22,8.438559508482354e+22
1320.0cm-1,-2.430995654215886e+20,3.400901375784487e+20,-9.699057215686264e+19
1321.0cm-1,-5.874070821895104e+22,-6.111679318158592e+21,6.4852387537109645e+22
1322.0cm-1,-2.472391374588602e+20,1.4240747656389874e+21,-1.1768356281801802e+21
1323.0cm-1,1.7793088020405507e+18,9.83422407955847e+18,-1.1613532881599248e+19
1324.0cm-1,-1.096837659021368e+20,5.294659680276553e+19,5.6737169099369505e+19
1325.0cm-1,-2.9250755855860634e+18,-5.238602401721025e+17,3.448935825758166e+18
1326.0cm-1,-7.3576517015318e+18,7.28734733579184e+18,7.030436573976694e+16
1327.0cm-1,-2.2219552481129244e+18,9.546745578984868e+18,-7.324790330872144e+18
1328.0cm-1,6.670194064457576e+18,1.1522878490504288e+19,-1.819307255496192e+19
1329.0cm-1,-2.0456250076228964e+19,3.860543079512922e+19,-1.814918071890017e+19
1330.0cm-1,-3.359220524498701e+19,1.8628208026491367e+19,1.4963997218495695e+19
1331.0cm-1,-1.4881824533470214e+19,-2.55713142744084e+18,1.7438955960911073e+19
1332.0cm-1,-2.3206844363290295e+22,-3.901204729221679e+21,2.710804909251181e+22
1333.0cm-1,-1.4421490771755065e+19,-5.138518882544227e+18,1.95600096542992e+19
1334.0cm-1,-1.5512945810351705e+20,-2.7820825739647537e+19,1.8295028384316467e+20
1335.0cm-1,-3.248808648627441e+19,-8.778883666635261e+18,4.12669701529096e+19
1336.0cm-1,-2.601605460006634e+18,-5.2729641279539885e+17,3.128901872802065e+18
1337.0cm-1,-1.9497530809417703e+19,-5.82262837888106e+18,2.5320159188298715e+19
1338.0cm-1,-5.707776084954258e+18,1.551557597472749e+19,-9.807799889773113e+18
1339.0cm-1,-9.308413304348727e+18,-3.217888077141049e+18,1.2526301381489785e+19
1340.0cm-1,-3.79833652731512e+20,8.448555724288817e+18,3.7138509700722026e+20
1341.0cm-1,-2.5300470184868427e+20,4.531784017836268e+19,2.076868616703265e+20
1342.0cm-1,-7.594266038908761e+19,-2.352922478161116e+19,9.947188517069873e+19
1343.0cm-1,-3.6292149549372576e+21,6.259599461421115e+20,3.0032550087951563e+21
1344.0cm-1,-4.8360240092049285e+19,3.3031239236641915e+19,1.532900085540755e+19
1345.0cm-1,-3.25349919090926e+21,-2.522335873951907e+20,3.5057327783044485e+21
1346.0cm-1,-9.033998862154255e+18,1.4282072662106548e+19,-5.24807379995249e+18
1347.0cm-1,-3.0349584230128476e+19,2.49648381182951e+18,2.785310041829792e+19
1348.0cm-1,-3.1983161965904515e+19,6.743437070118876e+19,-3.5451208735284077e+19
1349.0cm-1,-1.0279756461199625e+20,-5.4080333040728056e+19,1.5687789765272424e+20
1350.0cm-1,-1.1037393712015884e+21,1.0971196574383953e+20,9.940274054577493e+20
1351.0cm-1,-1.7736210021755724e+19,-5.394500517184889e+18,2.313071053894054e+19
1352.0cm-1,-1.777149383108278e+19,-3.530442195034038e+18,2.1301936026116854e+19
1353.0cm-1,-6.387224009505676e+18,-1.0960595672079777e+18,7.48328357671365e+18
1354.0cm-1,1.6469897299098143e+19,1.82812668157879e+20,-1.9928256545697176e+20
1355.0cm-1,-1.9752166506598705e+20,-3.994332820754572e+19,2.3746499327353265e+20
1356.0cm-1,-1.964770343040158e+19,-4.908210577435188e+18,2.4555914007836717e+19
1357.0cm-1,-2.9649997362300457e+18,8.930285585212517e+18,-5.965285848982419e+18
1358.0cm-1,-6.33530926924392e+18,1.5560988662207144e+19,-9.225679392963367e+18
1359.0cm-1,-6.573731466417693e+17,-1.4753422460488534e+17,8.049073712466578e+17
1360.0cm-1,-6.126252288742988e+18,-2.1860620991069217e+18,8.312314387849885e+18
1361.0cm-1,-6.4335138166255704e+16,-2.8486248447365664e+16,9.282138661362134e+16
1362.0cm-1,-2.211016888051986e+20,-5.025162246443257e+19,2.7135331126963126e+20
1363.0cm-1,-5.3912783407274797e+17,-1.6984700172957693e+17,7.089748358023267e+17
1364.0cm-1,-6.281145832721706e+19,2.8616438851896373e+19,3.419501947532173e+19
1365.0cm-1,-1.0031662844677369e+20,2.5526700783025906e+19,7.478992766374735e+19
1366.0cm-1,-8.349330186898255e+17,2.2216212945275257e+19,-2.1381279926585606e+19
1367.0cm-1,-1.3842925428011178e+17,-3.04532073776424e+16,1.6888246165775526e+17
1368.0cm-1,-3.1080661045686036e+16,-9991390255374244.0,4.107205130106036e+16
1369.0cm-1,-2.8777132105909096e+19,-6.577446565298226e+18,3.5354578671207432e+19
1370.0cm-1,-3.792733863841729e+19,1.887760973889451e+20,-1.508487587505268e+20
1371.0cm-1,-3.5516085606233764e+18,2.3300274889483854e+19,-1.9748666328861364e+19
1372.0cm-1,-2.3221585087637804e+16,-5389683378303094.0,2.8611268465940884e+16
1373.0cm-1,-2.8283688938324032e+17,-6.722239086469145e+16,3.5005928024793197e+17
1374.0cm-1,-8.594757134328686e+18,-3.054170743987715e+18,1.1648927878316362e+19
1375.0cm-1,-1.4758296606238048e+21,-3.8996391891872167e+20,1.865793579542536e+21
1376.0cm-1,-6.2013429902357225e+19,6.688744519574207e+19,-4.8740152933844e+18
1377.0cm-1,-1.5474812542835927e+19,-4.880259525556635e+18,2.035507206839255e+19
1378.0cm-1,9.471416589103235e+17,1.957775575114389e+19,-2.052489741005357e+19
1379.0cm-1,-1.0442856870100404e+20,-2.5286505257030894e+19,1.2971507395803385e+20
1380.0cm-1,-1.5410987920464514e+20,-3.6268448846151127e+19,1.903783280507972e+20
1381.0cm-1,-3.134905588916591e+17,-6.925240557154964e+16,3.8274296446321e+17
1382.0cm-1,-1.8283355057712842e+22,-2.533826135730436e+21,2.081718119344331e+22
1383.0cm-1,1.3950835412338916e+18,5.476741892545625e+18,-6.871825433779584e+18
1384.0cm-1,-4.80560457925943e+18,1.1690389346533718e+19,-6.884784767274177e+18
1385.0cm-1,-1.3059940493189477e+17,-3.961577809883091e+16,1.7021518303072618e+17
1386.0cm-1,-2.694519047905939e+19,3.8070700329957245e+19,-1.1125509850897445e+19
1387.0cm-1,-6.951615095456758e+18,2.146971855455217e+19,-1.4518103459095988e+19
1388.0cm-1,-1.3642494500535171e+19,1.572449298695246e+19,-2.081998486417686e+18
1389.0cm-1,-1.0308399938323647e+18,-2.7377720114236275e+17,1.3046171949747277e+18
1390.0cm-1,-4.0236764572086383e+20,1.4640588747829199e+20,2.5596175824257142e+20
1391.0cm-1,-1.592091681274899e+19,3.223695604612533e+19,-1.6316039233376395e+19
1392.0cm-1,-1.2926980602863339e+20,3.91541457521008e+19,9.011566027653392e+19
1393.0cm-1,-8.435837856681599e+19,4.704608514388707e+19,3.73122934229291e+19
1394.0cm-1,-1.2955133322350619e+19,-2.394078602431087e+18,1.5349211924781797e+19
1395.0cm-1,-2.0524265068515303e+19,3.719576325410061e+19,-1.6671498185584527e+19
1396.0cm-1,3.635392923115518e+19,5.985754861999342e+19,-9.621147785114834e+19
1397.0cm-1,-3.886052258556398e+19,6.894344317730975e+19,-3.0082920591746454e+19
1398.0cm-1,7.33657319222458e+18,2.935303032581018e+19,-3.6689603518035063e+19
1399.0cm-1,-4.137865922327836e+19,1.636270084714285e+20,-1.2224834924814995e+20
1400.0cm-1,-3.77127018986745e+19,-2.1224870570445883e+18,3.983518895571865e+19
1401.0cm-1,-9.094188159756418e+20,-1.9831216848794698e+20,1.1077309844635845e+21
1402.0cm-1,-2.099766786459304e+20,1.715831341576364e+21,-1.5058546629304755e+21
1403.0cm-1,-8.380699900824489e+18,1.7404233615545836e+19,-9.023533714721377e+18
1404.0cm-1,-7.62604816962683e+18,1.0152641798055768e+19,-2.526593628429021e+18
1405.0cm-1,-3.709488186048129e+21,9.375389029663961e+20,2.771949283081761e+21
1406.0cm-1,3.267413390328011e+20,3.5492580666296553e+21,-3.8759994056625163e+21
1407.0cm-1,-3.6708582692718854e+19,9.310405317499357e+19,-5.639547048227589e+19
1408.0cm-1,-3.461967837629431e+20,2.7412612370319186e+20,7.20706600597612e+19
1409.0cm-1,-1.2564344340322488e+20,8.21042294634413e+18,1.174330204568795e+20
1410.0cm-1,3.721038141853958e+20,6.824640745940193e+20,-1.0545678887794243e+21
1411.0cm-1,-5.542812036810516e+19,6.171228188995662e+19,-6.2841615218507e+18
1412.0cm-1,-3.122079090531233e+19,-6.434263118083988e+18,3.76550540233963e+19
1413.0cm-1,-1.6468627891496636e+20,-3.4347483632893837e+19,1.9903376254786005e+20
1414.0cm-1,4.1666923627031465e+18,1.5086105643955747e+19,-1.9252798006659293e+19
1415.0cm-1,-5.776328629263193e+19,9.231760482432904e+19,-3.455431853169814e+19
1416.0cm-1,-9.948544828882719e+18,1.8119760899998552e+19,-8.171216071115601e+18
1417.0cm-1,-1.4731365884252919e+20,-3.6430498258639575e+18,1.5095670866839237e+20
1418.0cm-1,7.442020241966038e+18,1.7892748951782787e+19,-2.5334769193749103e+19
1419.0cm-1,-4.967846801117827e+18,1.3207635820084292e+19,-8.239789018966529e+18
1420.0cm-1,-7.973623711246215e+20,1.1816831114660938e+21,-3.843207403414511e+20
1421.0cm-1,-7.03781953599368e+18,2.1423944139048317e+19,-1.4386124603054586e+19
1422.0cm-1,-1.686601774702605e+20,-5.2561309429616206e+19,2.212214868998777e+20
1423.0cm-1,-1.5893298485347568e+21,5.3609577879612804e+20,1.0532340697386284e+21
1424.0cm-1,-3.5396551083853213e+22,5.419977860322312e+21,2.997657322353083e+22
1425.0cm-1,-6.818507036119973e+19,7.039029991756925e+19,-2.205229556366121e+18
1426.0cm-1,1.1750815823992034e+20,2.1409768235226507e+20,-3.316058405921831e+20
1427.0cm-1,3.2874137072461373e+19,1.38417593861141e+20,-1.7129173093360468e+20
1428.0cm-1,-3.406972827761387e+21,4.217013390664445e+20,2.9852714886949314e+21
1429.0cm-1,-1.1397367439420765e+20,2.7252444603826805e+20,-1.5855077164406656e+20
1430.0cm-1,-3.0910142563649815e+20,7.874355940671938e+20,-4.7833416843067707e+20
1431.0cm-1,-5.265548534049094e+18,1.3428115758381469e+20,-1.2901560904976273e+20
1432.0cm-1,-6.386617328074807e+20,1.5627724556544466e+21,-9.24110722846959e+20
1433.0cm-1,-1.3729308746019496e+19,2.2070231305119756e+19,-8.340922559100097e+18
1434.0cm-1,-1.8878197706347237e+21,1.61059897818249e+21,2.7722079245223238e+20
1435.0cm-1,-4.073535464972499e+20,5.7748032075650164e+20,-1.7012677425925364e+20
1436.0cm-1,-2.5934568446671753e+21,2.929518592156329e+21,-3.3606174748922675e+20
1437.0cm-1,-7.0754069301877555e+19,1.0220546159608601e+20,-3.1451392294208307e+19
1438.0cm-1,6.3304237906968125e+19,7.927134110623448e+20,-8.560176489693042e+20
1439.0cm-1,-5.2456332687979866e+20,2.845900682628073e+21,-2.3213373557481923e+21
1440.0cm-1,-7.745380389120496e+19,9.917652950226375e+19,-2.172272561105749e+19
1441.0cm-1,-1.4990387182095065e+19,3.3739320896369857e+19,-1.874893371427571e+19
1442.0cm-1,-9.969737198240852e+18,7.309797942375656e+19,-6.312824222551574e+19
1443.0cm-1,-4.1546800243883606e+20,1.43988400057634e+21,-1.0244159981374876e+21
1444.0cm-1,-1.1523456779761742e+19,5.445219133904954e+19,-4.292873455928976e+19
1445.0cm-1,-3.086268697942342e+19,3.885126188668415e+19,-7.988574907261264e+18
1446.0cm-1,-1.2214473273466942e+20,2.194677641450682e+20,-9.732303141039607e+19
1447.0cm-1,-2.3631152610033345e+19,4.789362398258253e+19,-2.426247137254816e+19
1448.0cm-1,-2.1710442702562025e+19,4.38371310458411e+19,-2.21266883432785e+19
1449.0cm-1,-1.1393092047964473e+20,4.783736581754936e+20,-3.64442737695846e+20
1450.0cm-1,-1.7501670083683898e+21,-2.9212955588218228e+20,2.042296564250584e+21
1451.0cm-1,5.401284882147681e+19,7.374301572758009e+19,-1.2775586454905879e+20
1452.0cm-1,-6.64661644686235e+20,-1.9970577384392095e+20,8.64367418530165e+20
1453.0cm-1,-2.664664953585717e+21,1.4899716862953726e+21,1.1746932672903901e+21
1454.0cm-1,-1.2896887401275621e+19,5.785786582423932e+19,-4.4960978422965125e+19
1455.0cm-1,-1.733485572807473e+19,6.100693588129037e+19,-4.367208015321546e+19
1456.0cm-1,-4.6772315519289655e+21,-3.6931963558216054e+20,5.046551187511127e+21
1457.0cm-1,-5.340527140193588e+19,4.9821998740141566e+20,-4.4481471599947186e+20
1458.0cm-1,-2.613521622669934e+19,1.9174509680379642e+20,-1.656098805770946e+20
1459.0cm-1,-3.031879889209159e+20,6.87107468133262e+20,-3.8391947921233347e+20
1460.0cm-1,-3.2239958264472535e+19,1.89297692632043e+20,-1.5705773436756302e+20
1461.0cm-1,-7.512329077058367e+21,5.192591400052868e+20,6.993069937053041e+21
1462.0cm-1,-8.013075870124773e+19,2.846338378286641e+20,-2.0450307912741018e+20
1463.0cm-1,-2.7834167469419938e+19,1.3821860739891166e+21,-1.3543519065197028e+21
1464.0cm-1,-1.0032506857211384e+21,1.6281447479477136e+21,-6.24894062226524e+20
1465.0cm-1,-2.3038842653010714e+21,2.3799811583408514e+21,-7.609689303976939e+19
1466.0cm-1,1.1370725205885903e+20,8.985559738456041e+20,-1.0122632259044682e+21
1467.0cm-1,9.558156659246234e+19,1.9067373120215935e+21,-2.0023188786140765e+21
1468.0cm-1,-1.0648341929977271e+20,2.2611699368487387e+20,-1.196335743850998e+20
1469.0cm-1,-1.176081317232401e+20,1.2977803464869292e+20,-1.216990292545304e+19
1470.0cm-1,-4.068859026744906e+19,6.249022194078709e+20,-5.842136291404625e+20
1471.0cm-1,1.4991440007315965e+21,2.1852261092266116e+21,-3.684370109958189e+21
1472.0cm-1,-9.55591743735042e+19,5.516737539598377e+20,-4.561145795863193e+20
1473.0cm-1,-3.7044136564516355e+21,1.401673821228128e+21,2.3027398352234944e+21
1474.0cm-1,1.3325058078413654e+19,2.112261605098937e+20,-2.245512185883047e+20
1475.0cm-1,-1.9622559738450362e+20,4.828027366373676e+20,-2.8657713925287064e+20
1476.0cm-1,4.926939542649388e+20,8.070628418911974e+20,-1.2997567961561736e+21
1477.0cm-1,-5.036784589007638e+20,5.485220790070514e+20,-4.484362010629172e+19
1478.0cm-1,7.800560980784238e+20,8.046629384108865e+20,-1.5847190364893e+21
1479.0cm-1,-4.718277467947413e+19,2.1759170217672963e+20,-1.704089274972565e+20
1480.0cm-1,-9.863563783551268e+19,1.0228646002048573e+20,-3.6508221849728973e+18
1481.0cm-1,-1.0650754434984711e+20,1.548989731932542e+20,-4.839142884341252e+19
1482.0cm-1,1.1947828443856481e+20,3.4510088924946524e+20,-4.645791736880265e+20
1483.0cm-1,5.632195832692448e+19,1.2081848040971436e+20,-1.7714043873664067e+20
1484.0cm-1,-4.8088271522158535e+19,5.753843232355214e+20,-5.272960517133901e+20
1485.0cm-1,-6.2858640931002e+20,1.865567784322411e+21,-1.2369813750124144e+21
1486.0cm-1,-1.34862808621856e+21,2.5818273979321577e+19,1.3228098122391895e+21
1487.0cm-1,-5.487125415033623e+19,1.3233926104288574e+21,-1.2685213562784684e+21
1488.0cm-1,3.7435046195005325e+19,2.116953324762914e+20,-2.491303786712971e+20
1489.0cm-1,-2.610505418702239e+19,1.0559052167318577e+20,-7.948546748616117e+19
1490.0cm-1,1.518405829986746e+19,2.468028188294057e+20,-2.6198687712927787e+20
1491.0cm-1,-3.619913990452536e+20,9.671427817169787e+20,-6.051513826717315e+20
1492.0cm-1,-3.936934818466247e+20,1.0663604082072639e+21,-6.726669263606181e+20
1493.0cm-1,-7.619057914718303e+19,5.544994747353074e+20,-4.7830889558811876e+20
1494.0cm-1,5.636613799219473e+20,1.095111955198108e+21,-1.6587733351200824e+21
1495.0cm-1,-5.799231583739492e+20,1.3108824424742938e+21,-7.309592841003513e+20
1496.0cm-1,4.485067475471161e+19,9.38474859106147e+19,-1.3869816066532909e+20
1497.0cm-1,5.882548031465797e+20,1.6136618290184368e+21,-2.2019166321650198e+21
1498.0cm-1,-6.698174076410412e+20,6.1164746439313e+20,5.816994324791252e+19
1499.0cm-1,-8.097125415520151e+19,3.55000593334107e+20,-2.740293391789047e+20
1500.0cm-1,-1.1812459744916403e+20,1.9071369820904705e+20,-7.2589100759885136e+19
1501.0cm-1,4.486505719026355e+20,1.7722217660436867e+21,-2.2208723379462999e+21
1502.0cm-1,-1.0526344911637313e+21,2.259831364896374e+21,-1.2071968737326877e+21
1503.0cm-1,-9.074975184666143e+20,5.3371509741491415e+20,3.7378242105167754e+20
1504.0cm-1,-2.071984407346011e+22,2.21223965705553e+22,-1.4025524970952165e+21
1505.0cm-1,-1.4432983813747393e+20,9.6641507531737e+20,-8.22085237179901e+20
1506.0cm-1,1.7023835152883614e+20,3.26122106915091e+20,-4.9636045844392955e+20
1507.0cm-1,-3.010481624020774e+20,1.0969791005121283e+21,-7.95930938110054e+20
1508.0cm-1,-2.5877335819321642e+20,1.367481347507595e+21,-1.1087079893143818e+21
1509.0cm-1,-9.245396165657384e+19,1.9629774811790515e+20,-1.0384378646133481e+20
1510.0cm-1,-1.0186593310964769e+20,1.5632940763926886e+21,-1.4614281432829746e+21
1511.0cm-1,-1.749084214755158e+20,5.3236590928721655e+20,-3.5745748781169213e+20
1512.0cm-1,-4.290281680971869e+19,1.6767249414880058e+20,-1.2476967733908475e+20
1513.0cm-1,9.144675170486268e+17,3.0320558089206104e+20,-3.041200484091134e+20
1514.0cm-1,-2.7827064441325384e+19,2.710967158821605e+20,-2.4326965144083254e+20
1515.0cm-1,-1.7990743628930636e+19,4.988962296936436e+20,-4.8090548606471596e+20
1516.0cm-1,-6.881585178594759e+22,9.092399409755894e+21,5.972345237619146e+22
1517.0cm-1,-2.204904484905068e+20,3.487765045273917e+20,-1.282860560368851e+20
1518.0cm-1,-6.36738008097732e+21,6.485385367634732e+21,-1.1800528665747099e+20
1519.0cm-1,4.537833457578578e+19,8.200847154024512e+19,-1.2738680611603279e+20
1520.0cm-1,-1.402361108813549e+22,6.052502646332634e+21,7.971108441802815e+21
1521.0cm-1,-2.300662062989867e+21,3.1199860315765326e+21,-8.193239685865752e+20
1522.0cm-1,-8.413219105459399e+21,5.744017569714629e+21,2.669201535744917e+21
1523.0cm-1,-2.708230345775411e+22,-1.6054196965932498e+21,2.8687723154347443e+22
1524.0cm-1,-1.5509756627317584e+21,1.8721913433075936e+21,-3.2121568057583724e+20
1525.0cm-1,-5.568896887823318e+19,1.2516426690375094e+21,-1.1959537001592785e+21
1526.0cm-1,-1.6653546716362338e+21,1.2878445732386573e+21,3.775100983975263e+20
1527.0cm-1,-5.4728271660619225e+22,1.5042790585978946e+22,3.968548107464027e+22
1528.0cm-1,-3.4683584138103207e+20,1.5363112839460532e+21,-1.1894754425650306e+21
1529.0cm-1,-3.2501365075399373e+19,4.743350863734141e+20,-4.418337212980147e+20
1530.0cm-1,-3.543417693973265e+20,1.581202796661964e+21,-1.2268610272646526e+21
1531.0cm-1,-1.8011840753576213e+21,1.9356504653290823e+21,-1.3446638997144918e+20
1532.0cm-1,-9.7225255212679e+19,3.9227211333965624e+20,-2.9504685812697422e+20
1533.0cm-1,-3.98757340319655e+19,1.1498976132142653e+20,-7.511402728945848e+19
1534.0cm-1,-1.0945462387674335e+22,1.4222976384197127e+22,-3.277513996522764e+21
1535.0cm-1,-5.3537795017480856e+19,1.8596285130017558e+20,-1.3242505628269384e+20
1536.0cm-1,1.378911499577403e+20,2.1762876077371176e+20,-3.555199107314555e+20
1537.0cm-1,-8.965031900135598e+19,2.2011226697349002e+20,-1.3046194797213514e+20
1538.0cm-1,-1.0433192387928423e+22,6.948812130978702e+21,3.484380256949914e+21
1539.0cm-1,2.158317842362288e+20,9.276063881854926e+20,-1.1434381724217164e+21
1540.0cm-1,-4.6687424974302855e+19,1.8603560435029767e+20,-1.3934817937599383e+20
1541.0cm-1,-1.9237460471104324e+21,1.6409519859477025e+21,2.8279406116276204e+20
1542.0cm-1,-1.6952703306590103e+20,3.6406773296928784e+20,-1.9454069990338603e+20
